"","dat_work","Freq","IDBANK","def","LAST_UPDATE","source","unite","unite_mult","max_period"
"41",2017-02-27,"M","001694172","Balance des paiements - Débit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"42",2017-02-27,"M","001694173","Balance des paiements - Débit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Actions et participations autres que réinvestissements des bénéfices, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"43",2017-02-27,"M","001694174","Balance des paiements - Débit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Réinvestissement des bénéfices - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"44",2017-02-27,"M","001694175","Balance des paiements - Débit - Compte financier - Investissements directs - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"45",2017-02-27,"M","001694176","Balance des paiements - Débit - Compte financier - Investissements de portefeuille - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"46",2017-02-27,"M","001694177","Balance des paiements - Débit - Compte financier - Investissements de portefeuille - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"47",2017-02-27,"M","001694178","Balance des paiements - Débit - Compte financier - Investissements de portefeuille - Titres de créance - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"48",2017-02-27,"M","001694179","Balance des paiements - Débit - Compte financier - Dérivés financiers (autres que les réserves) et options sur titres des salariés - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"49",2017-02-27,"M","001694180","Balance des paiements - Débit - Compte financier - Autres investissements - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"50",2017-02-27,"M","001694181","Balance des paiements - Débit - Compte financier - Autres investissements - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"51",2017-02-27,"M","001694182","Balance des paiements - Débit - Compte financier - Autres investissements - Droits de tirage spéciaux - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"52",2017-02-27,"M","001694233","Balance des paiements - Solde - Compte financier - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"53",2017-02-27,"M","001694234","Balance des paiements - Solde - Compte financier - Investissements directs, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"54",2017-02-27,"M","001694235","Balance des paiements - Solde - Compte financier - Investissements directs - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"55",2017-02-27,"M","001694236","Balance des paiements - Solde - Compte financier - Investissements directs - Actions et parts de fonds de placement - Actions et participations autres que réinvestissements des bénéfices, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"56",2017-02-27,"M","001694237","Balance des paiements - Solde - Compte financier - Investissements directs - Actions et parts de fonds de placement - Réinvestissement des bénéfices - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"57",2017-02-27,"M","001694238","Balance des paiements - Solde - Compte financier - Investissements directs - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"58",2017-02-27,"M","001694239","Balance des paiements - Solde - Compte financier - Investissements de portefeuille - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"59",2017-02-27,"M","001694240","Balance des paiements - Solde - Compte financier - Investissements de portefeuille - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"60",2017-02-27,"M","001694241","Balance des paiements - Solde - Compte financier - Investissements de portefeuille - Titres de créance - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"61",2017-02-27,"M","001694242","Balance des paiements - Solde - Compte financier - Dérivés financiers (autres que les réserves) et options sur titres des salariés - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"62",2017-02-27,"M","001694243","Balance des paiements - Solde - Compte financier - Autres investissements - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"63",2017-02-27,"M","001694244","Balance des paiements - Solde - Compte financier - Autres investissements - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"64",2017-02-27,"M","001694245","Balance des paiements - Solde - Compte financier - Autres investissements - Droits de tirage spéciaux - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"65",2017-02-27,"M","001694056","Balance des paiements - Crédit - Transactions courantes - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"66",2017-02-27,"M","001694057","Balance des paiements - Crédit - Transactions courantes - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"67",2017-02-27,"M","001694058","Balance des paiements - Crédit - Transactions courantes - Biens - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"68",2017-02-27,"M","001694059","Balance des paiements - Crédit - Transactions courantes - Biens - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"69",2017-02-27,"M","001694060","Balance des paiements - Crédit - Transactions courantes - Biens - Marchandises générales - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"70",2017-02-27,"M","001694061","Balance des paiements - Crédit - Transactions courantes - Biens - Exportations nettes de biens dans le cadre du négoce international - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"71",2017-02-27,"M","001694062","Balance des paiements - Crédit - Transactions courantes - Services - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"72",2017-02-27,"M","001694063","Balance des paiements - Crédit - Transactions courantes - Services - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"73",2017-02-27,"M","001694064","Balance des paiements - Crédit - Transactions courantes - Services - Services de fabrication fournis sur des intrants physiques détenus par des tiers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"74",2017-02-27,"M","001694065","Balance des paiements - Crédit - Transactions courantes - Services - Services d'entretien et de réparation non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"75",2017-02-27,"M","001694066","Balance des paiements - Crédit - Transactions courantes - Services - Transports - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"76",2017-02-27,"M","001694067","Balance des paiements - Crédit - Transactions courantes - Services - Voyages - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"77",2017-02-27,"M","001694068","Balance des paiements - Crédit - Transactions courantes - Services - Construction - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"78",2017-02-27,"M","001694069","Balance des paiements - Crédit - Transactions courantes - Services - Services d'assurance et de pension - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"79",2017-02-27,"M","001694070","Balance des paiements - Crédit - Transactions courantes - Services - Services financiers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"80",2017-02-27,"M","001694071","Balance des paiements - Crédit - Transactions courantes - Services - Frais pour usage de la propriété intellectuelle non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"81",2017-02-27,"M","001694072","Balance des paiements - Crédit - Transactions courantes - Services - Services de télécommunications, d'informatique et d'information - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"82",2017-02-27,"M","001694073","Balance des paiements - Crédit - Transactions courantes - Services - Autres services aux entreprises - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"83",2017-02-27,"M","001694074","Balance des paiements - Crédit - Transactions courantes - Services - Services personnels, culturels et relatifs aux loisirs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"84",2017-02-27,"M","001694075","Balance des paiements - Crédit - Transactions courantes - Services - Biens et services des administrations publiques non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"85",2017-02-27,"M","001694076","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"86",2017-02-27,"M","001694077","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"87",2017-02-27,"M","001694078","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Rémunération des salariés - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"88",2017-02-27,"M","001694079","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"89",2017-02-27,"M","001694080","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"90",2017-02-27,"M","001694081","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements directs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"91",2017-02-27,"M","001694082","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements directs - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"92",2017-02-27,"M","001694083","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements de portefeuille - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"93",2017-02-27,"M","001694084","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements de portefeuille - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"94",2017-02-27,"M","001694085","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des autres investissements - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"95",2017-02-27,"M","001694086","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des autres investissements - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"96",2017-02-27,"M","001694087","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des avoirs de réserve - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"97",2017-02-27,"M","001694088","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des avoirs de réserve - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"98",2017-02-27,"M","001694089","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Autre revenu primaire - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"99",2017-02-27,"M","001694090","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Autre revenu primaire - Impôts sur la production et les importations - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"100",2017-02-27,"M","001694091","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Autre revenu primaire - Subventions - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"101",2017-02-27,"M","001694092","Balance des paiements - Crédit - Transactions courantes - Revenus primaires - Autre revenu primaire - Loyers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"102",2017-02-27,"M","001694093","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"103",2017-02-27,"M","001694094","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"104",2017-02-27,"M","001694095","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Administrations publiques - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"105",2017-02-27,"M","001694096","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Secteurs hors administrations publiques - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"106",2017-02-27,"M","001694097","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Secteurs hors administrations publiques - Dont : envois de fonds des travailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"107",2017-02-27,"M","001694098","Balance des paiements - Crédit - Transactions courantes - Revenus secondaires - Secteurs hors administrations publiques - Ajustement pour variation des droits à pension - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"108",2017-02-27,"M","001694105","Balance des paiements - Débit - Transactions courantes - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"109",2017-02-27,"M","001694106","Balance des paiements - Débit - Transactions courantes - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"110",2017-02-27,"M","001694107","Balance des paiements - Débit - Transactions courantes - Biens - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"111",2017-02-27,"M","001694126","Balance des paiements - Débit - Transactions courantes - Biens - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"112",2017-02-27,"M","001694127","Balance des paiements - Débit - Transactions courantes - Biens - Marchandises générales - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"113",2017-02-27,"M","001694128","Balance des paiements - Débit - Transactions courantes - Services - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"114",2017-02-27,"M","001694129","Balance des paiements - Débit - Transactions courantes - Services - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"115",2017-02-27,"M","001694130","Balance des paiements - Débit - Transactions courantes - Services - Services de fabrication fournis sur des intrants physiques détenus par des tiers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"116",2017-02-27,"M","001694131","Balance des paiements - Débit - Transactions courantes - Services - Services d'entretien et de réparation non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"117",2017-02-27,"M","001694132","Balance des paiements - Débit - Transactions courantes - Services - Transports - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"118",2017-02-27,"M","001694133","Balance des paiements - Débit - Transactions courantes - Services - Voyages - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"119",2017-02-27,"M","001694134","Balance des paiements - Débit - Transactions courantes - Services - Construction - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"120",2017-02-27,"M","001694135","Balance des paiements - Débit - Transactions courantes - Services - Services d'assurance et de pension - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"121",2017-02-27,"M","001694136","Balance des paiements - Débit - Transactions courantes - Services - Services financiers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"122",2017-02-27,"M","001694137","Balance des paiements - Débit - Transactions courantes - Services - Frais pour usage de la propriété intellectuelle non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"123",2017-02-27,"M","001694138","Balance des paiements - Débit - Transactions courantes - Services - Services de télécommunications, d'informatique et d'information - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"124",2017-02-27,"M","001694139","Balance des paiements - Débit - Transactions courantes - Services - Autres services aux entreprises - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"125",2017-02-27,"M","001694140","Balance des paiements - Débit - Transactions courantes - Services - Services personnels, culturels et relatifs aux loisirs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"126",2017-02-27,"M","001694141","Balance des paiements - Débit - Transactions courantes - Services - Biens et services des administrations publiques non inclus ailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"127",2017-02-27,"M","001694142","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"128",2017-02-27,"M","001694143","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"129",2017-02-27,"M","001694144","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Rémunération des salariés - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"130",2017-02-27,"M","001694145","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"131",2017-02-27,"M","001694146","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"132",2017-02-27,"M","001694147","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements directs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"133",2017-02-27,"M","001694148","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements directs - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"134",2017-02-27,"M","001694149","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements de portefeuille - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"135",2017-02-27,"M","001694150","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des investissements de portefeuille - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"136",2017-02-27,"M","001694151","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des autres investissements - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"137",2017-02-27,"M","001694152","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Revenus des investissements - Revenus des autres investissements - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"138",2017-02-27,"M","001694153","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Autre revenu primaire - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"139",2017-02-27,"M","001694154","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Autre revenu primaire - Impôts sur la production et les importations - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"140",2017-02-27,"M","001694155","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Autre revenu primaire - Subventions - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"141",2017-02-27,"M","001694156","Balance des paiements - Débit - Transactions courantes - Revenus primaires - Autre revenu primaire - Loyers - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"142",2017-02-27,"M","001694157","Balance des paiements - Débit - Transactions courantes - Revenus secondaires - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"143",2017-02-27,"M","001694158","Balance des paiements - Débit - Transactions courantes - Revenus secondaires - Données CVS","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"144",2017-02-27,"M","001694159","Balance des paiements - Débit - Transactions courantes - Revenus secondaires - Administrations publiques - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"145",2017-02-27,"M","001694160","Balance des paiements - Débit - Transactions courantes - Revenus secondaires - Secteurs hors administrations publiques - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
"146",2017-02-27,"M","001694161","Balance des paiements - Débit - Transactions courantes - Revenus secondaires - Secteurs hors administrations publiques - Dont : envois de fonds des travailleurs - Données brutes","2017-02-07","BPM6-CTRANSACTION/","EUR","6","2016-12"
